COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ANTH 1210,A02 (50493),Ancient Peoples and Places (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Stacie Burke
ANTH 1210,D01 (52118),Ancient Peoples and Places (3),DE,Jan 06 - Apr 09,Barbara Hewitt
ANTH 1210,A01 (50492),Ancient Peoples and Places (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Sara Halwas
ANTH 1220,A03 (52093),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Anna Fournier
ANTH 1220,A02 (50496),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Rumel Halder
ANTH 1220,A01 (50495),Socio-Cultural Anthropology (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",TBA
ANTH 1220,D01 (50705),Socio-Cultural Anthropology (3),DE,Jan 06 - Apr 09,TBA
ANTH 2000,D01 (52701),"Culture, Society, and Power (3)",DE,Jan 06 - Apr 09,TBA
ANTH 2000,A01 (51859),"Culture, Society, and Power (3)",M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Lara Rosenoff Gauvin
ANTH 2100,A01 (51860),Introduction to Archaeology (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Kent Fowler
ANTH 2240,A01 (64274),Plagues and People (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Stacie Burke
ANTH 2430,A01 (50500),"Ecology, Technology and Society (3)",M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Rumel Halder
ANTH 2470,A01 (64276),Media Anthropology (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Kathleen Buddle
ANTH 2530,A01 (62113),Anthropology of Political Systems (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Anna Fournier
ANTH 2560,D01 (57368),Anthropology of Illness (3),DE,Jan 06 - Apr 09,Barbara Hewitt
ANTH 2610,A01 (64280),Old World Civilizations (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
ANTH 3200,A01 (64281),Anthropology of Food (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",Fabiana Li
ANTH 3380,A01 (64282),Anthropology and Contemporary Social Issues (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Warren Clarke
ANTH 3600,A01 (64283),Archaeological Method and Theory (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Laura Kelvin
ANTH 3730,A01 (63360),Forensic Anthropology (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",TBA
ANTH 3750,A01 (52496),Anthropological Perspectives on Globalization and the World-System (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Rumel Halder
ANTH 4780,T19 (63363),Public Anthropology with Youth: Critical Decolonizing Pedagogies (3),M,"Jan 06 - Apr 09, 16:00-18:45 (R)",Warren Clarke
ANTH 4790,T08 (64284),Archaeology of Death (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Kent Fowler
ANTH 4850,A01 (55720),Advanced Seminar in Anthropological Theory (3),M,"Jan 06 - Apr 09, 11:30-14:15 (T)",Lara Rosenoff Gauvin
ANTH 7000,A01 (52964),Professional Development in Anthropology (Part B) (0),M,"Jan 06 - Apr 09, 11:30-14:15 (F)",Fabiana Li
ANTH 7140,A01 (64285),Ethnographic Research Methods (3),M,"Jan 06 - Apr 09, 11:30-14:15 (M)",Kathleen Buddle
ANTH 7410,T08 (64286),Anthropology of Death (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Kent Fowler
ANTH 7900,T22 (63364),Public Anthropology with Youth: Critical Decolonizing Pedagogies (3),M,"Jan 06 - Apr 09, 16:00-18:45 (R)",Warren Clarke
ARTS 1110,A01 (50612),Introduction to University (3),M,"Jan 06 - Apr 09, 11:30-12:45 (T)",TBA
ARTS 1110,G08 (62579),Introduction to University (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Stephanie Olson
ARTS 1110,B11 (50610),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B10 (50609),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B12 (50611),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B14 (53416),Introduction to University (0),M,"Jan 06 - Apr 09, 20:30-21:45 (W)",TBA
ARTS 1110,B13 (53415),Introduction to University (0),M,"Jan 06 - Apr 09, 20:30-21:45 (T)",TBA
ARTS 1110,B09 (50608),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B05 (50605),Introduction to University (0),M,"Jan 06 - Apr 09, 11:30-12:45 (R)",TBA
ARTS 1110,B04 (50604),Introduction to University (0),M,"Jan 06 - Apr 09, 11:30-12:45 (R)",TBA
ARTS 1110,B06 (50606),Introduction to University (0),M,"Jan 06 - Apr 09, 11:30-12:45 (R)",TBA
ARTS 1110,B08 (55944),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B07 (50607),Introduction to University (0),M,"Jan 06 - Apr 09, 14:30-15:45 (R)",TBA
ARTS 1110,B03 (50603),Introduction to University (0),M,"Jan 06 - Apr 09, 11:30-12:45 (R)",TBA
ARTS 1110,A03 (50614),Introduction to University (3),M,"Jan 06 - Apr 09, 19:00-20:15 (T)",TBA
ARTS 1110,A02 (50613),Introduction to University (3),M,"Jan 06 - Apr 09, 14:30-15:45 (T)",TBA
