COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR,
ANTH 1210,D01 (10789),Ancient Peoples and Places (3),DE,Sep 04 - Dec 09,Barbara Hewitt,
ANTH 1210,A03 (10558),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Sara Halwas,
ANTH 1210,A02 (10559),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 13:30-14:20 (MWF)",TBA,
ANTH 1210,A01 (10557),Ancient Peoples and Places (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Kent Fowler,
ANTH 1220,A02 (10560),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",TBA,
ANTH 1220,A03 (12446),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Warren Clarke,
ANTH 1220,D01 (12114),Socio-Cultural Anthropology (3),DE,Sep 04 - Dec 09,TBA,
ANTH 1220,A01 (11161),Socio-Cultural Anthropology (3),M,"Sep 04 - Dec 09, 10:30-11:20 (MWF)",Rumel Halder,
ANTH 2000,A01 (16745),"Culture, Society, and Power (3)",M,"Sep 04 - Dec 09, 14:30-15:45 (TR)",Anna Fournier,
ANTH 2000,D01 (22609),"Culture, Society, and Power (3)",DE,Sep 04 - Dec 09,Anna Fournier,
ANTH 2020,A01 (22610),Relatedness in a Globalizing World (3),M,"Sep 04 - Dec 09, 11:30-12:45 (TR)",Warren Clarke,
ANTH 2100,A01 (12091),Introduction to Archaeology (3),M,"Sep 04 - Dec 09, 11:30-12:20 (MWF)",TBA,
ANTH 2550,A01 (24717),Culture and the Individual (3),M,"Sep 04 - Dec 09, 12:30-13:20 (MWF)",Rumel Halder,
ANTH 2560,D01 (20438),Anthropology of Illness (3),DE,Sep 04 - Dec 09,Barbara Hewitt,
ANTH 2600,A01 (24718),Old World Prehistory (3),M,"Sep 04 - Dec 09, 10:00-11:15 (TR)",,
ANTH 2820,A01 (22612),Human Osteology (3),M,"Sep 04 - Dec 09, 14:30-17:15 (T)",Grace Holmes,
